Datum,Název,Místo konání,Popis
06.09.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
06.09.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
06.09.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
06.09.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
06.09.2025,Dobrá Karma,Brno,všeobecné (bleší trh)
06.09.2025,Bleší trh Příbram,Příbram,všeobecné (bleší trh)
07.09.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
07.09.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
07.09.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
07.09.2025,Bleší trh Golčův Jeníkov,Golčův Jeníkov,všeobecné (bleší trh)
13.09.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
13.09.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
13.09.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
13.09.2025,Bleší trhy Olomouc,Olomouc,všeobecné (bleší trh), starožitnosti
13.09.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
13.09.2025,Liberecké Všehotrhy,Liberec 7,všeobecné (bleší trh)
14.09.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
14.09.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
14.09.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
14.09.2025,Burza Držkov,Držkov,auto-moto, všeobecné (bleší trh)
20.09.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
20.09.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
20.09.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
20.09.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
20.09.2025,Burza Jihlava,Jihlava,všeobecné (bleší trh)
21.09.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
21.09.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
21.09.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
27.09.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
27.09.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
27.09.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
27.09.2025,Bleší trhy Ostrava,Ostrava,všeobecné (bleší trh), starožitnosti
27.09.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
27.09.2025,Liberecké Všehotrhy,Liberec 7,všeobecné (bleší trh)
